Function,Mean,Std,Best,Median,Worst,MaxFEs,PopSize,Runs,Dim,K
F1,26334.1751247166,27420.3803198728,300,16262.7309973782,103858.742012783,100000,50,30,20,3
F2,450.110547084295,31.9979919851549,400.392175876162,449.084478979481,537.629173697635,100000,50,30,20,3
F3,619.600203291007,11.2774247841364,604.443429702915,617.701902757739,656.311660575262,100000,50,30,20,3
F4,931.421035065075,58.0533178485343,843.778117816123,941.93720327572,1038.54480578693,100000,50,30,20,3
F5,4074.34565141916,2232.77659398182,934.698661954838,3599.95439420629,8880.16310165047,100000,50,30,20,3
F6,4060988.64324018,11881325.6102934,2045.89176477353,17215.758149774,43118748.8811349,100000,50,30,20,3
F7,2177.45321207384,87.6977491272318,2048.95630403326,2154.65685582861,2388.17344720216,100000,50,30,20,3
F8,2291.55644663969,66.6783765755579,2221.93451154858,2262.52233826333,2466.13152245191,100000,50,30,20,3
F9,2485.9209850736,11.7799602700622,2480.78127167775,2480.80364353829,2526.84234789944,100000,50,30,20,3
F10,4915.44346260841,1375.1606000753,2500.73692503912,4701.23406882962,7383.48768117743,100000,50,30,20,3
F11,3048.3549471273,311.33062046079,2600,2900,4372.19764179617,100000,50,30,20,3
F12,2970.66433018068,24.5994160341877,2942.29858520302,2966.01460779293,3054.17173903051,100000,50,30,20,3
