Function,Mean,Std,Best,Median,Worst,TimeTotal_s,TimeMean_s,MaxFEs,PopSize,Runs,Dim
F1,300,1.4003529987609e-13,300,300,300.000000000001,23.751779,0.791726,100000,50,30,20
F2,434.468597852896,23.3005576649088,400.000219571559,449.084478979481,471.767535159013,19.251922,0.641731,100000,50,30,20
F3,615.695944687366,9.14337467296342,603.223334321405,613.653537223521,640.853823923506,26.556452,0.885215,100000,50,30,20
F4,870.078012770071,50.3445151627099,828.853772307715,848.752791301565,995.363364932412,19.204970,0.640166,100000,50,30,20
F5,1524.30909049032,527.194536953848,974.492579654411,1325.96533664269,3231.05643131472,30.769852,1.025662,100000,50,30,20
F6,4779.56768896672,4819.10407139079,1918.08829025701,2276.10839802979,23913.6980777413,22.178864,0.739295,100000,50,30,20
F7,2128.74965625176,80.3232156766789,2031.46748687617,2104.27492801827,2370.72088968162,39.368038,1.312268,100000,50,30,20
F8,2255.18264256369,51.9747985235895,2221.32243849712,2225.68857761402,2365.16663132678,45.474511,1.515817,100000,50,30,20
F9,2480.78127167775,2.26902759489779e-12,2480.78127167775,2480.78127167775,2480.78127167776,38.648106,1.288270,100000,50,30,20
F10,4192.99210836314,1348.29758226138,2500.53766879722,4263.28400697637,7099.09783588048,37.525656,1.250855,100000,50,30,20
F11,2894.03279347307,86.9744499593716,2600,2900,3000,45.942129,1.531404,100000,50,30,20
F12,2963.21494652673,22.5177497522383,2938.78618154568,2957.15802079837,3038.95530625919,47.401982,1.580066,100000,50,30,20
